,0
1809,328000823
1810,328030823
1811,328212823
1812,328383823
1813,328494823
1814,328515823
1815,328606823
1816,328636823
1817,328828823
1818,328929823
1819,328939823
1820,329282923
1821,329393923
1822,329414923
1823,329474923
1824,329585923
1825,329666923
1826,329747923
1827,329777923
1828,329787923
1829,329808923
1830,329858923
1831,330050033
1832,330101033
1833,330131033
1834,330161033
1835,330212033
1836,330404033
1837,330424033
1838,330515033
1839,330595033
1840,330646033
1841,330676033
1842,330707033
1843,330787033
1844,330919033
1845,331000133
1846,331111133
1847,331161133
1848,331171133
1849,331333133
1850,331404133
1851,331444133
1852,331515133
1853,331525133
1854,331545133
1855,331636133
1856,331777133
1857,331818133
1858,331848133
1859,331878133
1860,331929133
1861,331969133
1862,331999133
1863,332000233
1864,332090233
1865,332121233
1866,332141233
1867,332151233
1868,332171233
1869,332181233
1870,332262233
1871,332373233
1872,332414233
1873,332424233
1874,332484233
1875,332616233
1876,332646233
1877,332727233
1878,332919233
1879,333010333
1880,333040333
1881,333080333
1882,333121333
1883,333181333
1884,333212333
1885,333434333
1886,333454333
1887,333535333
1888,333676333
1889,333686333
1890,333727333
1891,333898333
1892,333949333
1893,333979333
1894,334050433
1895,334131433
1896,334161433
1897,334282433
1898,334383433
1899,334414433
1900,334545433
1901,334575433
1902,334696433
1903,334707433
1904,334737433
1905,334747433
1906,334777433
1907,334797433
1908,334848433
1909,334909433
1910,334939433
1911,335060533
1912,335181533
1913,335202533
1914,335282533
1915,335292533
1916,335333533
1917,335414533
1918,335454533
1919,335474533
1920,335606533
1921,335787533
1922,335828533
1923,335838533
1924,336121633
1925,336191633
1926,336272633
1927,336343633
1928,336373633
1929,336424633
1930,336494633
1931,336616633
1932,336929633
1933,336979633
1934,337000733
1935,337050733
1936,337060733
1937,337171733
1938,337242733
1939,337323733
1940,337414733
1941,337515733
1942,337525733
1943,337555733
1944,337858733
1945,337878733
1946,337939733
1947,337959733
1948,338141833
1949,338171833
1950,338333833
1951,338343833
1952,338393833
1953,338424833
1954,338525833
1955,338696833
1956,338717833
1957,338747833
1958,338787833
1959,338838833
1960,338858833
1961,338868833
1962,338949833
1963,339010933
1964,339080933
1965,339242933
1966,339262933
1967,339353933
1968,339646933
1969,339737933
1970,339878933
1971,339949933
1972,340191043
1973,340272043
1974,340353043
1975,340414043
1976,340444043
1977,340525043
1978,340545043
1979,340707043
1980,340767043
1981,340959043
1982,341010143
1983,341040143
1984,341171143
1985,341222143
1986,341262143
1987,341282143
1988,341292143
1989,341565143
1990,341828143
1991,341898143
1992,342020243
1993,342080243
1994,342202243
1995,342212243
1996,342232243
1997,342313243
1998,342323243
1999,342484243
2000,342505243
2001,342646243
2002,342797243
2003,342808243
2004,342929243
2005,343020343
2006,343050343
2007,343080343
2008,343090343
2009,343111343
2010,343272343
2011,343393343
2012,343545343
2013,343696343
2014,343717343
2015,343737343
2016,343747343
2017,343767343
2018,343858343
2019,343878343
2020,343929343
2021,343969343
2022,343989343
2023,344040443
2024,344060443
2025,344090443
2026,344282443
2027,344363443
2028,344474443
2029,344757443
2030,344838443
2031,344949443
2032,345080543
2033,345191543
2034,345232543
2035,345262543
2036,345292543
2037,345323543
2038,345353543
2039,345424543
2040,345494543
2041,345515543
2042,345565543
2043,345595543
2044,345656543
2045,345676543
2046,345686543
2047,345868543
2048,345898543
2049,345919543
2050,346080643
2051,346111643
2052,346141643
2053,346353643
2054,346414643
2055,346434643
2056,346474643
2057,346525643
2058,346636643
2059,346686643
2060,346696643
2061,346777643
2062,346818643
2063,346878643
2064,347010743
2065,347090743
2066,347202743
2067,347252743
2068,347333743
2069,347444743
2070,347454743
2071,347525743
2072,347616743
2073,347666743
2074,347676743
2075,347898743
2076,347939743
2077,348010843
2078,348040843
2079,348070843
2080,348121843
2081,348131843
2082,348616843
2083,348646843
2084,348929843
2085,348959843
2086,348979843
2087,348989843
2088,349050943
2089,349131943
2090,349191943
2091,349303943
2092,349363943
2093,349444943
2094,349545943
2095,349575943
2096,349626943
2097,349666943
2098,349737943
2099,349747943
2100,349777943
2101,349818943
2102,349878943
2103,350121053
2104,350313053
2105,350363053
2106,350454053
2107,350474053
2108,350555053
2109,350636053
2110,350808053
2111,350828053
2112,350838053
2113,350868053
2114,350939053
2115,350979053
2116,351040153
2117,351202153
2118,351232153
2119,351242153
2120,351272153
2121,351323153
2122,351535153
2123,351656153
2124,351919153
2125,351949153
2126,352141253
2127,352252253
2128,352272253
2129,352323253
2130,352414253
2131,352434253
2132,352494253
2133,352545253
2134,352575253
2135,352656253
2136,352848253
2137,352909253
2138,353060353
2139,353232353
